cell_type	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50
CD4 T	-4.570621	-1.147881	-0.344464	-3.022861	1.659836	0.712851	-0.709656	0.697110	1.316425	0.983865	2.851656	-1.542250	-1.859766	1.548666	3.193231	-0.389224	0.881322	1.280002	-0.621982	0.596114	-0.096191	-0.119580	1.880266	0.389755	0.472582	-1.653950	-0.617548	0.648438	0.739581	-0.666844	-2.126262	1.657424	-0.343042	-0.504991	0.785456	-0.345477	1.512214	0.023563	-0.552305	-0.528543	-2.712002	3.228741	-1.877008	0.853420	0.408439	-2.148112	-1.659298	2.867984	3.049927	-1.255751
B cells	9.407037	0.765220	-1.241248	0.746244	-4.485136	7.270421	0.912970	-0.094911	2.669188	-1.683666	0.302448	-2.080925	0.129204	-2.421322	-0.777216	-0.023481	0.276884	1.462734	-0.304511	1.303580	0.396260	1.481573	0.560385	-2.038392	0.546006	0.695061	3.177176	-0.962348	-0.452634	-1.540000	-1.955223	1.023208	2.915298	0.618932	-1.692825	0.236970	-0.901503	-1.627913	-2.150015	1.448789	-1.411123	-1.779295	-1.256884	-0.965169	-0.409191	-0.601310	-1.604685	0.285693	4.604517	-2.035727
B cells	6.153986	-3.177129	-0.624662	-2.378309	5.096470	3.620192	0.144211	1.467176	0.760836	-1.165362	-0.168089	-0.357358	1.577165	1.228077	1.198745	-2.446537	0.965068	0.790154	-0.364570	0.316640	0.713418	1.046999	2.293640	0.507545	-1.066357	-0.021621	0.252415	0.926589	0.119615	0.574845	-1.645928	1.870547	1.689745	0.687375	-0.457021	-1.087499	-0.970274	1.823149	-2.162028	0.148638	0.368294	-1.072557	1.269620	1.654882	0.681591	0.927051	-1.183560	-0.281711	0.540326	0.456454
B cells	10.103265	2.439254	-1.219556	1.368359	-5.223938	4.655326	0.578253	-0.234457	0.309478	-1.784109	-0.725469	-2.391902	0.315262	-1.313264	-2.226035	-0.845660	0.492460	-0.292986	-1.172081	0.944735	-1.628934	0.067298	1.322329	-0.324307	-2.655537	-0.888387	1.489251	-1.415503	0.308718	-0.529951	0.519640	-1.448225	1.850188	-1.341845	0.635989	0.748145	1.992913	-0.817547	-0.345568	0.665575	0.485861	-0.505697	0.656667	0.339798	-0.706508	-1.465666	-1.382507	0.863828	-0.977875	1.392305
B cells	10.972514	2.233026	-1.941005	0.223211	-4.016161	4.682135	-0.224750	0.475252	-0.850250	-0.416392	-2.085674	-1.720917	-1.171496	-0.592238	-0.646903	-0.286324	1.527206	2.127365	1.632278	2.868278	1.050755	-1.851269	0.177229	-1.839507	0.029197	-0.391499	-0.492679	-2.537812	-2.947931	-3.266018	0.823285	0.338643	0.021847	1.776205	-0.020414	-0.696602	-0.272573	-1.791074	2.087549	0.394637	1.153600	0.846143	1.900538	0.640986	1.649526	-1.121677	-1.385140	-0.379975	-1.005556	0.577754
CD4 T	-3.961516	-1.901916	0.087896	-3.042659	0.140562	1.162061	-1.758794	-0.506401	-0.416517	0.887279	1.853699	-0.695190	-0.088586	1.012972	0.855679	1.773291	1.389138	-0.534871	0.252640	-1.802623	-1.850770	0.367987	1.612858	-0.458997	1.041440	2.989736	1.073245	-0.452983	0.451560	-1.868590	-2.589709	-2.552684	-1.638667	-0.119720	-0.221304	0.178993	-1.825789	1.710148	-1.697515	-0.553224	-0.598077	-1.376659	0.109921	0.260713	0.721650	-2.272074	2.438412	1.433006	0.616300	-1.909639
CD4 T	-3.413403	-0.446147	-0.785606	-1.441777	-2.416133	-0.054806	-1.255533	-2.201843	-2.083950	2.670413	-2.472527	-2.595574	0.141110	0.608444	-0.106619	-3.009022	-2.785121	-0.156694	-0.458419	1.502934	-2.025320	-0.510168	-1.034142	4.116688	-0.548363	1.019658	-0.664817	0.268941	5.441291	-2.510554	-0.442706	-1.113734	-1.385362	-1.376114	-1.254334	1.860330	-2.217982	0.515538	2.525674	2.400238	-1.932650	-0.715767	-0.616492	2.050951	-0.364745	2.138952	-2.082690	-1.810493	0.887291	-0.841854
CD14 Monocytes	-2.667047	-8.978567	-1.356280	10.533566	-0.472731	-1.567567	1.131755	2.003647	1.361751	-0.850812	-2.327351	2.444646	1.414032	1.635904	-1.459814	-0.927036	-0.064525	-0.474901	-2.312620	0.309455	-0.700813	0.610193	-1.159353	1.090631	-0.515855	-1.050773	1.155861	-1.397378	-1.215942	-1.277727	1.233860	2.090131	0.910995	-2.907415	0.614425	0.166218	-1.742619	-1.550262	-1.258314	2.659893	-0.607445	0.818886	-0.487958	1.047197	-0.781343	-1.666034	0.258232	-1.759131	-1.628103	-1.616865
B cells	8.944348	-0.996981	-0.272381	-1.782582	3.188960	-0.892400	1.347903	0.451642	-0.546501	1.473052	-0.042336	-0.052712	1.691108	0.467558	-0.323269	-1.722884	0.931805	2.087267	-0.344793	-0.368115	1.502282	1.312446	1.153045	0.149034	-0.314476	-0.156561	-1.040379	-0.111716	0.176894	1.192814	0.033106	0.577673	-1.766588	-0.178145	0.680414	0.089732	-0.189898	0.180877	0.916748	-2.702084	-2.577703	-0.208765	-0.138513	-0.037270	-1.053415	1.692317	1.069557	0.644527	0.680075	-0.646058
CD4 T	-3.615031	0.793764	0.199124	-2.150134	-6.108448	-3.168193	-1.306260	1.282681	0.542855	-2.106687	-0.939225	-6.273774	-4.228597	-1.036527	-2.970093	-3.877486	-1.450798	0.453514	-0.824092	-1.282228	1.537412	3.228467	2.051790	-1.893368	2.488578	-0.988079	2.064683	2.125450	-2.047458	0.548820	1.028937	-1.223142	4.749320	0.494822	-4.598828	-2.847587	-1.343376	3.036192	2.030946	-2.035260	-0.788770	-0.330833	-0.039138	-1.010671	-3.366630	-0.014881	0.527931	1.373017	-1.190525	0.601607
B cells	12.585708	0.683189	0.114742	0.925550	-1.393015	0.334935	-0.554407	-0.469606	-0.300485	-0.926752	-0.431730	-1.200816	-1.116813	1.472017	-0.687833	-1.579746	-0.456577	0.268008	0.714334	-0.670205	-0.848034	2.357309	2.221538	1.184916	-0.066724	-0.035614	-2.483173	0.019996	0.081500	0.633342	0.721015	-3.457843	0.027925	1.730903	1.641890	-2.263768	-1.407575	-1.637161	2.105762	0.166892	-1.960592	1.132965	-1.042272	0.789796	0.365085	-3.650248	-1.578941	0.193836	-0.659035	-1.630611
B cells	12.728538	3.795676	-1.004743	2.875313	-5.138600	-1.735012	-0.882884	-0.976335	-3.934040	3.989247	2.374152	0.299692	0.053355	0.358599	-0.727455	-0.970505	2.133190	-0.241936	-1.024694	0.065193	0.560441	0.852818	1.405480	1.565068	-0.213902	-2.156156	-2.285784	-0.155853	-2.931798	-1.578935	0.702516	2.433368	-1.814138	1.594896	-1.312336	-3.175187	-1.096577	0.656588	-0.287387	-1.149966	1.667476	-2.430858	-0.787626	-1.381650	0.203956	-0.481820	1.225396	-4.148282	-1.353609	1.555184
CD4 T	-3.586987	-0.499208	-0.609528	-2.450801	-0.642225	0.926332	-1.520398	-1.053160	-0.699713	-0.685608	1.064862	0.547004	0.822620	1.001875	-0.902562	0.426253	-0.210867	0.785954	-1.389041	0.376206	-1.772500	0.540005	-0.501362	-1.005699	-1.624962	-2.850418	0.331864	-1.145525	2.843000	-0.535120	-1.931040	0.175502	-0.401433	0.836558	3.134087	-1.027010	-0.697116	-0.597095	1.120435	0.562605	1.370042	-0.142038	1.590074	0.442218	0.515095	-0.229812	1.393420	1.385033	2.105215	0.484769
CD4 T	-3.083981	-1.671965	0.204952	-2.537443	1.196370	1.128994	-2.494171	1.270239	-0.138395	2.021348	1.683348	-0.428825	-1.049873	0.556598	-1.278367	-0.130761	-0.482517	-1.284018	-0.213263	0.004134	0.627325	0.303217	-1.193396	-0.123855	1.172745	2.063503	1.127593	1.637781	1.762307	-0.199407	-0.827083	0.670258	-0.019117	-0.498455	-0.014726	-0.231779	-1.173873	-0.033012	0.008426	-0.615543	0.716909	1.622121	0.097106	-1.459052	-0.786617	1.659972	1.860414	0.903348	2.165346	1.712413
CD8 T	-3.427766	11.135632	0.397139	5.240223	5.084862	2.467139	-2.088621	1.341837	3.274297	1.100003	-2.639044	3.638504	-1.555112	-0.040214	-2.149771	-5.081141	-1.205166	-1.817773	-3.364539	5.496862	-1.379139	-0.256879	-0.047383	-1.571899	1.512725	-1.142573	0.555661	0.319844	-5.654737	-2.247800	3.484977	0.412537	3.195253	-2.821167	-5.635300	2.651619	3.852112	-1.049819	-2.004664	0.137551	-1.428755	1.330045	0.839407	-2.539678	-2.390591	0.628414	2.031931	-0.743612	-2.377214	-0.830659
B cells	7.478302	0.537905	-1.115013	-1.379654	-1.061586	6.778454	0.576229	1.047462	0.106820	0.440986	-1.310019	-0.286664	0.522921	-0.431049	-1.226216	1.198533	-0.750404	1.408988	0.234212	0.381365	0.473207	-1.757959	-1.614897	-3.261262	-0.423248	-1.410459	0.896996	-2.876100	-0.952252	3.267856	-0.035751	-1.682158	-0.076986	-1.447749	-0.997406	1.120962	-0.369808	-0.791163	0.451308	2.520081	0.984235	-1.909472	-0.535416	0.603463	-1.286035	-1.500326	2.154753	1.734612	-1.493095	-1.530648
CD4 T	-3.367010	-1.183030	0.533874	-2.928720	-0.969874	1.529561	-1.059036	1.533773	-0.184796	-2.256248	0.192020	-0.177607	0.629647	-1.300291	1.518837	-1.853742	-1.277410	2.005248	-1.553585	1.316897	-1.416556	-0.433667	-2.570082	-2.861859	0.174490	2.658654	-2.960759	0.074914	-0.905672	-0.912912	-0.174609	-2.193721	2.947476	-1.184215	0.390821	-0.530634	-1.566546	1.236905	-2.357761	-1.095080	-1.974671	-0.856665	1.709894	-2.110817	-1.006014	1.335379	-2.249367	0.854582	-0.783712	-0.286776
B cells	11.015423	2.491921	-0.705392	1.349317	-5.551838	4.439288	0.498887	1.181918	4.777946	-1.191590	-0.553338	-0.245162	-0.826097	-1.221564	1.081528	-2.995631	1.320963	0.953828	-0.899432	-1.882099	-3.310442	-4.388468	-2.257741	-0.201632	-1.700780	-2.296509	-0.609223	0.140179	2.699860	-1.350620	-2.028415	-3.490109	0.661297	2.234130	-3.827035	-0.374391	-0.071823	1.930581	-2.728462	0.685175	-1.213854	0.035063	1.373042	0.856533	-0.382141	-0.610322	-1.252125	-2.218827	1.783946	1.517225
CD4 T	-3.549483	-0.112535	-0.561774	-2.163270	-1.446439	0.665003	-0.049268	-0.316501	-1.428484	-0.166085	-2.350198	1.781707	-0.016191	1.211169	-0.023874	2.135512	-0.974359	0.309269	-0.003604	0.761772	-0.451328	0.391876	0.956355	-2.772489	-0.084877	0.527075	-2.447002	-1.403750	-0.347573	1.815625	-0.901077	2.006902	1.055591	-0.871477	-1.468643	0.365468	-1.064487	0.144081	-1.349646	-0.049001	0.129247	-1.096080	1.642873	0.654766	0.038389	-0.899269	0.909800	-1.474413	1.565293	2.068586
CD4 T	-3.418996	0.263280	0.059529	-4.116263	-0.480709	0.690027	-1.806519	-0.442501	2.113770	2.620279	-1.859927	0.754975	-0.493904	-0.020414	-3.356998	-2.900512	-0.479849	-0.390126	-0.773535	-0.466985	1.884402	1.969929	1.903490	-0.041929	-1.665649	4.190970	-1.263239	3.444722	-0.135326	3.429486	-1.190277	-1.767680	-0.306180	1.976596	-3.354790	-1.076988	-1.506090	0.098988	-1.027301	-2.375381	3.394334	-1.910060	-0.041448	1.778285	-0.296817	0.314737	2.144803	-1.761896	0.123001	0.477037
CD4 T	-3.908271	-1.486929	0.877024	-2.510675	0.965353	0.182911	-1.834930	-0.306185	1.106321	2.454364	0.319889	-1.641885	-0.946513	0.298462	1.155210	-0.374893	0.042470	1.309000	0.456607	-1.940210	-1.191480	-1.265886	1.334827	1.915221	0.444677	0.301514	0.024318	-0.949874	1.391286	0.234955	-1.568075	-1.444521	0.002636	0.417955	1.342542	-0.257209	-0.641494	-1.459347	1.553945	-0.941824	1.791167	0.808092	-0.734902	0.179114	-0.482948	-0.350493	-0.062379	1.083191	0.309772	0.059220
CD4 T	-3.185828	-0.940865	-0.522471	-2.416414	-2.570954	-0.501792	-2.422543	0.091900	0.101566	-0.279561	-0.119902	0.252280	-0.214758	-0.914513	-0.316666	-0.649679	0.516511	1.237180	0.346654	-0.183663	-0.553244	-2.250886	-0.445968	2.222680	0.054334	2.369790	0.710423	-1.845434	-1.421763	0.822953	-1.699958	-0.013949	-1.213326	-0.556987	0.447995	1.333645	0.737608	-1.482133	1.273074	0.979245	0.041736	-0.419596	-1.624107	3.694450	-0.692064	1.307091	1.051339	1.799513	0.254513	-0.159020
CD4 T	-3.070843	-0.992766	-0.050264	-2.467629	0.407603	-1.009178	0.024617	-0.050709	-0.489878	-4.113603	-1.891073	0.957990	1.474334	-0.618955	-0.621774	1.135822	0.555756	-1.043350	-0.657603	-0.506008	1.193380	0.512662	1.033563	-0.707667	-1.699299	0.673226	1.868507	-0.857290	-0.388914	0.265738	-0.930342	0.153420	0.897524	0.203526	1.477451	1.403370	1.045519	-0.654504	0.409813	-0.593765	-0.470194	-0.074983	-0.024153	1.331403	-1.165169	-2.032932	1.853665	-0.108173	-2.650032	-2.142428
CD8 T	-2.402671	15.381448	-0.844967	9.292300	3.706357	-1.050706	-3.061730	-1.492308	1.948106	-3.654958	0.917931	1.865219	-0.228251	1.419252	-0.956857	-1.645468	1.351331	-1.796920	-2.078850	0.439234	1.355757	3.162925	1.958423	6.058698	-1.609868	-1.916802	0.800941	-1.700556	-1.556719	0.176620	2.803349	4.377135	0.787867	-0.176018	3.713037	-1.536325	2.759545	-0.485391	-0.839760	-0.878548	-1.717701	-3.065879	1.027950	-0.662284	2.482905	-0.039377	0.761823	-0.368150	0.989754	-0.816085
CD4 T	-2.630242	0.471412	0.778233	-2.778620	-2.188047	1.447659	-1.320884	-0.192325	-1.225224	-0.428972	-3.887799	2.599045	0.045544	1.101105	-1.581135	-2.025586	-1.497937	-1.986886	-3.360006	0.925805	-1.751876	-1.010064	3.804229	-0.531404	-1.298871	-2.619198	-0.084777	-1.039390	0.748962	-0.208329	3.938833	-0.683736	0.741345	1.160573	1.159995	-1.139196	-0.021038	0.477095	2.953084	0.112728	0.189758	-3.433328	1.357686	1.866435	2.499823	-1.765211	-0.047733	-0.914250	-0.573379	1.412633
CD8 T	-3.655790	13.692539	1.096651	6.790686	3.707244	-0.996715	-2.710399	-1.404731	2.803483	-4.706436	-0.758124	-3.025543	-0.044191	-3.467881	-0.220618	6.769702	0.218146	4.245455	-0.892213	4.436632	-0.280731	6.663340	1.867482	2.790495	2.308665	1.823693	-0.585365	2.201108	-2.902256	1.792141	0.461584	5.100557	8.451262	0.634067	-2.304603	0.721102	4.145395	-1.536140	0.498049	1.582111	-1.711321	2.102901	-0.971845	-3.767328	-5.396776	-2.292545	4.406476	-2.062356	-1.806886	-1.581810
CD4 T	-4.919172	-0.648882	-0.674900	-3.221814	-3.383013	0.198771	-1.218346	-1.034305	-1.380813	1.898187	-0.599405	0.512509	0.268461	1.066360	0.067556	-0.320471	-1.883265	-0.332238	0.527301	-1.833501	-2.756685	0.677003	-1.254472	0.799400	1.823944	-1.019532	-0.759215	0.444014	-1.191855	0.996467	-3.006250	1.856512	-0.764819	0.270533	-0.568495	-0.537197	-0.347559	-1.168867	-0.089132	-2.094825	-1.491553	-0.177418	-2.821081	1.401470	1.994208	-0.078215	0.581143	-2.060308	-1.041706	0.098809
CD14 Monocytes	-3.163624	-6.000246	-1.554250	5.790454	0.785210	-0.208812	0.636084	-0.897370	-0.768947	-1.129811	1.221293	1.357118	1.195555	1.481323	-0.046411	1.022826	2.806734	-0.206281	-0.156300	-2.481548	2.133189	-0.860723	-1.286209	-0.320731	0.589465	-0.477166	0.561039	-1.108121	-0.037879	-0.335348	0.113258	-1.024198	-0.566367	1.516417	-0.544409	-2.352611	0.201250	-1.817765	0.698777	0.618372	1.642032	-0.284890	0.063013	0.537565	-0.623296	-1.929492	-0.136591	-0.258353	-2.281654	0.225458
CD4 T	-3.056811	-1.970189	-0.425450	-4.137527	0.977215	-0.765097	-0.519891	-0.669356	0.548945	-0.322714	-2.675928	-1.093326	-0.687257	-2.246454	-0.060065	1.618459	-0.910764	1.236399	-0.055551	1.081032	0.187501	1.516981	0.676886	-1.475763	3.611295	-0.917392	-0.197327	2.710963	-0.285847	1.946775	-0.884368	0.691424	-0.574381	-1.606508	3.692818	0.390133	-2.755636	0.502906	-0.515794	-0.471248	0.727166	-2.971568	1.060569	0.148421	0.223790	-2.192574	3.360948	0.618351	1.780907	1.946448
CD4 T	-4.066382	-0.111629	0.726774	-3.076396	-1.798024	0.743851	-0.390909	1.153046	-2.243568	0.782804	-2.697724	-1.499447	0.667446	2.478994	-1.038109	2.091077	0.235370	-2.211617	3.390656	-2.413107	1.400072	1.229339	0.763769	0.738201	2.865418	-0.440825	-1.069814	-2.249098	-0.057339	-2.313740	-0.920475	3.432716	-0.302446	-0.624234	1.949938	3.169009	-3.389879	-3.310500	-0.301892	2.165368	-2.508385	-1.501659	1.451400	-3.120227	-1.325532	-0.060219	-0.081698	-0.547859	0.751371	-0.718748
CD4 T	-3.229596	0.486441	0.341826	-0.939500	-1.994556	-0.177161	-1.814897	0.295596	-0.050646	-0.799278	1.718812	-1.756613	-0.307413	0.879430	-1.966063	0.573743	2.254194	-0.172893	0.969638	-0.642994	-0.203768	3.110160	-0.808532	-2.230961	2.935518	-0.023591	1.307146	1.195215	-1.108467	-1.485000	-2.351080	0.534891	0.057928	3.043379	2.601890	1.310707	-0.022291	0.855102	0.524410	-0.261572	-1.035480	2.271314	1.230654	1.943422	-1.533273	-1.013835	-0.680030	-0.521310	-0.614131	0.421113
B cells	11.015130	0.802712	-1.575209	-2.095967	0.868244	-1.745304	-0.319945	0.640691	-0.754624	0.601413	-0.561028	-0.736798	-1.305151	-1.531461	-0.484572	-3.781040	-0.376354	0.085280	-1.638251	-0.658047	-0.684973	2.566569	-2.164486	-0.370019	1.337765	-3.030447	0.807443	-1.794663	0.490402	2.787903	0.122070	2.978736	-2.189922	-0.247069	-0.670525	0.115009	0.337224	0.047449	1.974925	3.105639	-1.348602	0.451964	0.445874	-0.020453	2.238969	-0.634560	-0.041490	2.356197	-1.006511	-1.815269
B cells	8.316200	-1.292797	0.148735	-1.720565	3.014502	-2.989560	-1.307923	0.483418	-0.915815	-0.650160	1.282943	2.528415	-1.048933	2.232995	1.724743	-1.491518	-1.146840	2.973048	-0.580129	-1.336149	1.157092	-2.356662	0.306763	0.444458	-1.087888	0.365282	0.033055	-0.902827	2.346105	0.577557	2.515131	-1.363266	0.198936	-0.652493	-0.521158	2.347384	2.719877	-1.981385	-0.522816	0.842431	0.078113	1.445376	1.037072	-1.633152	-2.361343	-0.992904	-0.673214	0.056399	0.751414	-1.009128
CD8 T	-3.885335	2.031275	-0.544025	-0.642101	1.009617	-0.112033	3.673249	-1.022626	1.951908	-0.724107	-0.968295	-1.541058	-1.713100	-1.129839	0.095671	-2.682376	-0.935299	0.899231	-0.923747	-1.394507	-1.256103	-2.079682	0.482720	0.832352	-1.846442	1.587016	1.144620	-1.023139	-2.088438	0.288532	-3.983312	3.455968	-2.173471	-0.603649	-0.322686	-1.452643	1.533293	-0.389358	2.337492	1.159190	0.947632	0.382155	-0.244568	-1.421838	-1.309392	-2.687193	2.822620	-1.392020	1.203293	1.442526
B cells	7.803534	-1.649143	-0.870227	-1.202611	3.715838	2.104703	1.215436	1.792540	-3.012152	2.344029	-1.174965	1.689932	2.329954	0.310681	-0.189855	1.517749	2.150166	0.098589	0.582099	2.432428	3.422525	-0.854334	-0.128216	-1.852909	0.426054	-0.463940	1.453448	0.804400	-1.723666	2.488536	1.471255	0.596729	1.324665	0.139038	-1.482095	-0.930973	-1.746319	-2.529541	-0.772252	0.224098	0.793786	0.272196	1.525424	0.482785	-0.713689	1.871280	-0.455294	-1.894038	-1.225430	-3.516844
CD4 T	-2.912034	-0.770182	-0.928167	-1.344379	-0.664378	-0.006673	-0.287814	2.085583	-2.137096	-0.565299	-0.139648	-1.186069	-3.219285	1.400347	-0.709426	-0.939831	0.626568	-2.207749	0.792743	1.343546	0.556200	-1.709430	0.492428	-2.776462	-1.286478	1.656711	1.002028	-0.889227	0.331383	-1.528786	-0.746459	2.484119	-1.296775	-1.891959	0.948117	1.367097	-0.045173	2.284809	0.325632	-0.697802	-0.847101	-0.964295	0.557141	-0.565796	-2.864590	2.206349	1.233535	-0.064258	-1.538663	0.651674
B cells	10.276918	-1.022784	-1.345328	-1.580466	4.038771	-3.830790	-1.153614	-1.479881	0.685735	-1.887550	-0.821794	-0.094382	0.342070	0.419675	-0.342797	-0.988998	0.414989	-0.776030	1.244477	0.299690	3.195197	-0.898205	0.777230	-0.486334	2.309084	-1.158609	-0.312465	-1.284912	-2.607926	-0.372203	0.458399	-1.693768	1.493428	-0.266817	-0.427642	-0.837927	-0.190035	1.053747	0.410327	-2.858065	0.529233	-1.220732	0.584356	-2.076020	0.983342	0.216520	1.410005	-0.287339	1.667006	-0.581637
CD14 Monocytes	-1.253327	-5.349160	-1.142488	5.970685	-2.354951	-1.027515	-0.834692	-0.698620	-2.535984	-4.362456	-0.648369	0.999038	1.268783	-0.039829	0.031205	-0.215130	2.327953	2.668877	0.733732	-0.303127	-1.798374	-3.139406	2.535234	-1.202350	-1.583440	-1.609439	-2.451339	-0.929000	-0.932991	3.379344	0.823620	2.214473	0.292715	-1.644125	-0.773462	0.882414	3.614539	-2.098908	2.416690	0.871423	-1.882443	1.043208	4.904066	-1.090191	1.314654	1.422714	2.159059	1.519473	-0.394644	3.749757
CD4 T	-4.409185	-1.370539	-0.000813	-1.920937	0.790214	-0.468668	-0.903619	0.883890	2.465414	0.902411	1.664199	0.836698	-4.042280	0.823066	-0.688987	0.358689	-1.504030	0.435085	1.919261	-0.877307	-1.872898	1.714097	1.634869	-3.459002	3.650450	0.212192	-0.877374	-0.208299	-0.839271	-0.791521	-1.830273	-1.649258	0.117016	0.506192	-0.170568	-0.844746	3.342642	0.131275	-0.880767	0.882196	1.871048	-0.463462	1.713858	1.093366	-0.812713	1.707010	-1.526376	2.109176	0.163096	-0.374627
CD4 T	-4.566668	-3.364856	0.515057	-2.077445	3.267327	2.489344	-0.214940	2.518590	-0.614393	1.364804	-0.112552	1.906708	2.778927	-0.294871	0.466774	-2.498299	-0.862565	-0.511265	0.095913	0.299709	0.104836	0.150592	1.091265	0.490468	0.723891	-2.014034	0.677273	-1.216209	0.927886	0.003747	-1.261489	0.904895	-1.486781	1.706161	0.032213	2.593016	1.752677	0.851792	-0.931254	1.954344	-1.384385	-0.621048	-1.639571	1.435123	0.814287	0.540740	-0.584259	1.312973	1.499224	-0.100563
CD14 Monocytes	-3.674761	-8.354061	-2.293864	8.823821	-0.473712	1.052429	-0.797658	-3.053466	-1.432774	-2.090466	-0.556643	-0.431690	0.525048	2.676198	-0.530908	-0.974465	-5.647271	-1.626392	3.066095	2.719330	2.128493	0.503358	-5.764981	0.118223	-0.423005	0.688947	1.784886	-0.576394	-0.690787	-1.538536	-0.302875	-0.815345	3.176926	2.573858	-0.544279	-1.789806	-3.666565	0.795899	2.037518	0.365574	3.491417	0.996049	0.153045	-0.257574	-0.987672	-2.259253	-1.477077	1.009306	-6.025313	2.076385
CD14 Monocytes	-2.813720	-8.505305	-3.054745	9.982188	1.333842	0.297148	0.385636	0.172187	-0.254681	-1.786861	1.902440	-0.441050	-3.192009	3.373941	1.560750	2.356999	2.032421	-0.491633	3.339489	-2.539022	-4.676938	1.807758	-3.539137	-0.343432	-0.330917	-1.349951	1.397426	-2.737262	3.017247	7.771677	0.173836	-3.987545	-0.552257	-4.785301	-0.866395	0.563219	0.940443	-0.579204	-1.735349	-1.118803	-1.337868	2.597178	4.871348	-4.171652	2.238074	-4.884195	2.319902	-4.852503	4.270179	-0.379125
CD4 T	-3.528092	-2.915247	-0.267479	-1.499776	0.524233	0.483555	-1.619510	-0.261191	-0.593319	0.280336	-0.282940	0.060527	-0.529576	-2.012543	0.384229	0.405079	-2.168446	-2.895531	-0.492987	0.550219	2.164587	-0.629127	-0.227476	0.334956	-1.188929	-0.872283	0.653860	-0.734235	-0.041357	-0.472765	0.918957	1.145556	-0.484197	-2.075852	-0.918488	3.400037	0.065080	-0.949595	0.570458	0.189415	0.576906	1.908399	1.254821	0.855741	-0.253824	0.129747	-0.999599	-0.921974	1.711405	-1.022955
B cells	10.838627	0.591928	-0.154970	-2.114404	1.907406	-3.021332	-2.005744	-0.821950	-2.529244	2.258588	0.265565	0.121535	0.011721	0.437066	-0.471941	0.234093	0.502115	0.878691	-1.664394	1.328322	2.193789	-3.857651	-0.428147	0.946699	-2.498668	-0.754162	0.064638	-2.015246	-1.847172	0.902193	-0.128262	1.780429	-0.855092	1.193670	0.262520	2.100346	0.163471	-2.099999	-0.897083	-2.056835	-0.064178	0.419252	2.307121	-2.795973	-2.743388	1.759450	-0.450797	0.859245	-0.675901	-0.030726
CD14 Monocytes	-2.232732	-7.024735	-1.805714	5.487869	1.368084	1.337813	-0.019562	-0.705983	-3.298536	0.365542	0.118307	-0.403605	-2.178347	-0.685653	1.517824	4.931111	2.656510	1.926611	-1.730014	0.867263	-0.620697	0.172010	0.356326	0.218942	1.063131	0.513474	-0.076457	3.576969	-0.729189	0.051063	-2.246395	0.869862	2.144754	1.771451	1.444216	-0.807392	-1.158485	-2.003212	-0.383170	-4.989728	-1.366928	0.019625	0.229502	-1.695247	1.854440	-2.315564	-1.746176	0.259306	-0.205764	0.829543
